,Title,published_date,views,likes,comments,month
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34041,1753,63,May
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25182,1293,85,Apr
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77737,3435,284,Apr
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23672,697,85,Apr
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139228,4037,474,Apr
103,How to Go From Data Analyst to Data Scientist,2021-04-02,55565,1577,178,Apr
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4028,139,92,Mar
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18822,361,108,Mar
106,My Regrets as a Data Science Student,2021-03-12,24103,883,112,Mar
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3853,195,83,Mar
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5613,201,81,Feb
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7057,176,51,Feb
110,Why I Quit Data Science,2021-02-12,105544,2352,345,Feb
111,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10837,563,116,Jan
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7043,292,126,Jan
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10269,312,52,Jan
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,24039,711,134,Jan
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,40152,1171,148,Jan
116,What is the #66DaysOfData?,2020-12-26,71019,2337,200,Dec
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131826,5950,488,Dec
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11173,403,133,Dec
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23802,725,324,Dec
